央视频道,#genre#
东南卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.124:5540
广东卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.12:5540
贵州卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.157:5540
河北卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.154:5540
河南卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.155:5540
黑龙江卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.13:5540
湖北卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.16:5540
湖南卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.10:5540#http://111.227.196.164:9901/tsfile/live/0128_1.m3u8
吉林卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.111:5540
江苏卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.112:5540
江西卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.156:5540
辽宁卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.160:5540
山东卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.15:5540
深圳卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.14:5540
四川卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.151:5540
浙江卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.153:5540
重庆卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.158:5540

北京卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003870776.m3u8
湖南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873458.m3u8
江苏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873462.m3u8
浙江卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873464.m3u8
湖北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873465.m3u8
天津卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873466.m3u8
山东卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873467.m3u8
辽宁卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873468.m3u8
安徽卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873469.m3u8
黑龙江卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873470.m3u8
贵州卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873471.m3u8
东南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873473.m3u8
重庆卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796458.m3u8
江西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796511.m3u8
广东卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873459.m3u8
河北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873460.m3u8
深圳卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873474.m3u8
吉林卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004972569.m3u8
河南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887270.m3u8
四川卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887274.m3u8
河北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887382.m3u8
广西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887394.m3u8
陕西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887404.m3u8
山西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887413.m3u8
内蒙古卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887427.m3u8
青海卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887430.m3u8
海南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796877.m3u8
宁夏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887433.m3u8
西藏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887448.m3u8
甘肃卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887450.m3u8
三沙卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887452.m3u8
云南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887453.m3u8
厦门卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887454.m3u8
兵团卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887456.m3u8

浙江卫视[1920*1080],https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
云南卫视[1920*1080],https://hwapi.yntv.net/62hdvf/nqyn7w.m3u8
云南卫视[1920*1080],https://hwapi.yntv.cn/62hdvf/nqyn7w.m3u8
河北卫视[960*540],http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3d44740039027301acf8341d7361ab59
青海卫视[1280*720],http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
青海卫视[1280*720],http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
兵团卫视[1920*1080],https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
吉林卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0017_1.m3u8
辽宁卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0018_1.m3u8
黑龙江卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0019_1.m3u8
河南卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0139_1.m3u8
内蒙古卫视[785*576],http://218.13.167.110:9901/tsfile/live/0109_1.m3u8
海南卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/1000_1.m3u8
广西卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0113_1.m3u8
云南卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0119_1.m3u8
江西卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0138_1.m3u8
河北卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0117_1.m3u8
青海卫视[785*576],http://218.13.167.110:9901/tsfile/live/0140_1.m3u8
陕西卫视[768*576],http://218.13.167.110:9901/tsfile/live/0136_1.m3u8
广东卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0125_1.m3u8
深圳都市[1920*1080],http://218.13.167.110:9901/tsfile/live/1004_1.m3u8
东方卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0107_1.m3u8
天津卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0135_1.m3u8
重庆卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0142_1.m3u8
江苏卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0127_1.m3u8
湖南卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0128_1.m3u8
贵州卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0120_1.m3u8
安徽卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0130_1.m3u8
四川卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0123_1.m3u8
山东卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0131_1.m3u8
湖北卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0132_1.m3u8
深圳卫视[1920*1080],http://218.13.167.110:9901/tsfile/live/0126_1.m3u8
北京卫视[1920*1080],http://majian.ixiaobai.net:58888/rtp/239.37.0.9:5540

北京卫视,http://itv.iptv1688.top:2016/itv.php?id=北京卫视
湖南卫视,http://itv.iptv1688.top:2016/itv.php?id=湖南卫视
浙江卫视,http://itv.iptv1688.top:2016/itv.php?id=浙江卫视
江苏卫视,http://itv.iptv1688.top:2016/itv.php?id=江苏卫视
东方卫视,http://itv.iptv1688.top:2016/itv.php?id=东方卫视
广东卫视,http://itv.iptv1688.top:2016/itv.php?id=广东卫视
东南卫视,http://itv.iptv1688.top:2016/itv.php?id=东南卫视
辽宁卫视,http://itv.iptv1688.top:2016/itv.php?id=辽宁卫视
深圳卫视,http://itv.iptv1688.top:2016/itv.php?id=深圳卫视
天津卫视,http://itv.iptv1688.top:2016/itv.php?id=天津卫视
安徽卫视,http://itv.iptv1688.top:2016/itv.php?id=安徽卫视
河北卫视,http://itv.iptv1688.top:2016/itv.php?id=河北卫视
重庆卫视,http://itv.iptv1688.top:2016/itv.php?id=重庆卫视
吉林卫视,http://itv.iptv1688.top:2016/itv.php?id=吉林卫视
黑龙江卫视,http://itv.iptv1688.top:2016/itv.php?id=黑龙江卫视
山东卫视,http://itv.iptv1688.top:2016/itv.php?id=山东卫视
海南卫视,http://itv.iptv1688.top:2016/itv.php?id=海南卫视
贵州卫视,http://itv.iptv1688.top:2016/itv.php?id=贵州卫视
湖北卫视,http://itv.iptv1688.top:2016/itv.php?id=湖北卫视
河南卫视,http://itv.iptv1688.top:2016/itv.php?id=河南卫视
广西卫视,http://itv.iptv1688.top:2016/itv.php?id=广西卫视
江西卫视,http://itv.iptv1688.top:2016/itv.php?id=江西卫视
陕西卫视,http://itv.iptv1688.top:2016/itv.php?id=陕西卫视
宁夏卫视,http://itv.iptv1688.top:2016/itv.php?id=宁夏卫视
内蒙古卫视,http://itv.iptv1688.top:2016/itv.php?id=内蒙古卫视
西藏卫视,http://itv.iptv1688.top:2016/itv.php?id=西藏卫视
四川卫视,http://itv.iptv1688.top:2016/itv.php?id=四川卫视
山西卫视,http://itv.iptv1688.top:2016/itv.php?id=山西卫视
甘肃卫视,http://itv.iptv1688.top:2016/itv.php?id=甘肃卫视
新疆卫视,http://itv.iptv1688.top:2016/itv.php?id=新疆卫视
青海卫视,http://itv.iptv1688.top:2016/itv.php?id=青海卫视
延边卫视,http://itv.iptv1688.top:2016/itv.php?id=延边卫视
兵团卫视,http://itv.iptv1688.top:2016/itv.php?id=兵团卫视
山东教育,http://itv.iptv1688.top:2016/itv.php?id=山东教育
北京科教纪实,http://itv.iptv1688.top:2016/itv.php?id=北京科教纪实
北京卡酷少儿,http://itv.iptv1688.top:2016/itv.php?id=北京卡酷少儿
CHC家庭影院,http://107.174.52.32/itv.php?id=CHC家庭影院
CHC影迷电影,http://107.174.52.32/itv.php?id=CHC影迷电影
CHC动作电影,http://107.174.52.32/itv.php?id=CHC动作电影


IPV4央视,#genre#
CCTV1-综合,http://111.43.126.240:9003/hls/13/index.m3u8
CCTV2-财经,http://111.43.126.240:9003/hls/14/index.m3u8
CCTV3-综艺,http://111.43.126.240:9003/hls/15/index.m3u8
CCTV4-中文国际,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV5-体育,http://111.43.126.240:9003/hls/17/index.m3u8
CCTV5+-体育赛事,http://111.43.126.240:9003/hls/18/index.m3u8
CCTV6-电影,http://111.43.126.240:9003/hls/19/index.m3u8
CCTV7-国防军事,http://111.43.126.240:9003/hls/20/index.m3u8
CCTV8-电视剧,http://111.43.126.240:9003/hls/21/index.m3u8
CCTV9-纪录,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV10-科教,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV11-戏曲,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV12-社会与法,http://111.43.126.240:9003/hls/25/index.m3u8
CCTV13-新闻,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV14-少儿,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV15-音乐,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV16-奥林匹克,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV17-农业农村,http://111.43.126.240:9003/hls/30/index.m3u8
CCTV-1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV-2,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV-3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV-4,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV-5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV-5+,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV-6,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV-7,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV-8,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV-9,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV-10,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV-11,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV-12,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV-13,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV-15,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV-16,https://60.191.56.186:8888/hls/16/index.m3u8

CCTV-1,http://27.46.65.9:17088/udp/239.0.1.3:8008
CCTV-2,http://27.46.65.9:17088/udp/239.0.1.4:8084
CCTV-3,http://27.46.65.9:17088/udp/239.0.1.177:6037
CCTV-4,http://27.46.65.9:17088/udp/239.0.1.180:6040
CCTV-5,http://27.46.65.9:17088/udp/239.0.1.175:6035
CCTV-5+,http://27.46.65.9:17088/udp/239.0.1.101:8004
CCTV-6,http://27.46.65.9:17088/udp/239.0.1.176:6036
CCTV-7,http://27.46.65.9:17088/udp/239.0.1.96:8104
CCTV-8,http://27.46.65.9:17088/udp/239.0.1.174:6034
CCTV-9,http://27.46.65.9:17088/udp/239.0.1.97:8112
CCTV-10,http://27.46.65.9:17088/udp/239.0.1.98:8116
CCTV-12,http://27.46.65.9:17088/udp/239.0.1.99:8124
CCTV-14,http://27.46.65.9:17088/udp/239.0.1.100:8132
IPV4卫视,#genre#
北京卫视4K,http://qtest-play.btime.cn/live/btv_sn_20170706_s41_20m.m3u8
江苏卫视,http://nctv.top/IDOEPpiryt/jstv5.php?id=jsws
河南卫视,http://nctv.top/IDOEPpiryt/hntv.php?id=hnws
云南卫视,https://hwapi.yntv.net/62hdvf/nqyn7w.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖南卫视高清,http://111.43.126.240:9003/hls/37/index.m3u8
河北卫视高清,http://111.43.126.240:9003/hls/56/index.m3u8
江苏卫视高清,http://111.43.126.240:9003/hls/38/index.m3u8
东方卫视高清,http://111.43.126.240:9003/hls/39/index.m3u8
浙江卫视高清,http://111.43.126.240:9003/hls/40/index.m3u8
北京卫视高清,http://111.43.126.240:9003/hls/41/index.m3u8
广东卫视高清,http://111.43.126.240:9003/hls/42/index.m3u8
安徽卫视高清,http://111.43.126.240:9003/hls/43/index.m3u8
河南卫视高清,http://111.43.126.240:9003/hls/44/index.m3u8
吉林卫视高清,http://111.43.126.240:9003/hls/45/index.m3u8
天津卫视高清,http://111.43.126.240:9003/hls/46/index.m3u8
东南卫视高清,http://111.43.126.240:9003/hls/47/index.m3u8
江西卫视高清,http://111.43.126.240:9003/hls/49/index.m3u8
四川卫视高清,http://111.43.126.240:9003/hls/50/index.m3u8
深圳卫视高清,http://111.43.126.240:9003/hls/51/index.m3u8
贵州卫视高清,http://111.43.126.240:9003/hls/52/index.m3u8
海南卫视高清,http://111.43.126.240:9003/hls/53/index.m3u8
湖北卫视高清,http://111.43.126.240:9003/hls/54/index.m3u8
重庆卫视高清,http://111.43.126.240:9003/hls/55/index.m3u8
山东卫视高清,http://111.43.126.240:9003/hls/48/index.m3u8
北京卫视,https://60.191.56.186:8888/hls/34/index.m3u8
浙江卫视,https://60.191.56.186:8888/hls/17/index.m3u8
东方卫视,https://60.191.56.186:8888/hls/30/index.m3u8
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8
江苏卫视,https://60.191.56.186:8888/hls/33/index.m3u8
安徽卫视,https://60.191.56.186:8888/hls/32/index.m3u8
山东卫视,https://60.191.56.186:8888/hls/46/index.m3u8
重庆卫视,https://60.191.56.186:8888/hls/35/index.m3u8
贵州卫视,https://60.191.56.186:8888/hls/36/index.m3u8
四川卫视,https://60.191.56.186:8888/hls/37/index.m3u8
广东卫视,https://60.191.56.186:8888/hls/38/index.m3u8
天津卫视,https://60.191.56.186:8888/hls/41/index.m3u8
河南卫视,https://60.191.56.186:8888/hls/57/index.m3u8
河北卫视,https://60.191.56.186:8888/hls/43/index.m3u8
黑龙江卫视,https://60.191.56.186:8888/hls/44/index.m3u8
东南卫视,https://60.191.56.186:8888/hls/47/index.m3u8
湖北卫视,https://60.191.56.186:8888/hls/48/index.m3u8
辽宁卫视,https://60.191.56.186:8888/hls/49/index.m3u8
江西卫视,https://60.191.56.186:8888/hls/50/index.m3u8
青海卫视,https://60.191.56.186:8888/hls/51/index.m3u8
陕西卫视,https://60.191.56.186:8888/hls/53/index.m3u8
海南卫视,https://60.191.56.186:8888/hls/45/index.m3u8
山西卫视,https://60.191.56.186:8888/hls/55/index.m3u8
云南卫视,https://60.191.56.186:8888/hls/42/index.m3u8
吉林卫视,https://60.191.56.186:8888/hls/39/index.m3u8
宁夏卫视,https://60.191.56.186:8888/hls/56/index.m3u8
广西卫视,https://60.191.56.186:8888/hls/58/index.m3u8

央视IPV4,#genre#
重温经典,http://148.135.93.213/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213/live.php?id=CHC动作电影
CHC影迷电影,http://148.135.93.213/live.php?id=CHC影迷电影
CCTV1,http://148.135.93.213/live.php?id=CCTV1
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV5,http://148.135.93.213/live.php?id=CCTV5
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://148.135.93.213/live.php?id=CCTV6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV8,http://148.135.93.213/live.php?id=CCTV8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV10,http://148.135.93.213/live.php?id=CCTV10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://148.135.93.213/live.php?id=CCTV12
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV14,http://148.135.93.213/live.php?id=CCTV14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV16,http://148.135.93.213/live.php?id=CCTV16
CCTV17,http://148.135.93.213/live.php?id=CCTV17
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8

卫视IPV4,#genre#
五星体育,http://148.135.93.213/live.php?id=五星体育
凤凰资讯,http://148.135.93.213/phenix.php?id=fhzx
凤凰中文,http://148.135.93.213/phenix.php?id=fhzw
凤凰香港,http://148.135.93.213/phenix.php?id=fhhk
香港卫视,http://148.135.93.213/live.php?id=香港卫视
北京卫视,http://148.135.93.213/live.php?id=北京卫视
浙江卫视,http://148.135.93.213/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213/live.php?id=江苏卫视
陕西卫视,http://148.135.93.213/live.php?id=陕西卫视
湖北卫视,http://148.135.93.213/live.php?id=湖北卫视
内蒙古卫视,http://148.135.93.213/live.php?id=内蒙古卫视
江西卫视,http://148.135.93.213/live.php?id=江西卫视
广东卫视,http://148.135.93.213/live.php?id=广东卫视
东方卫视,http://148.135.93.213/live.php?id=东方卫视
西藏卫视,http://148.135.93.213/live.php?id=西藏卫视
新疆卫视,http://148.135.93.213/live.php?id=新疆卫视
青海卫视,http://148.135.93.213/live.php?id=青海卫视
东南卫视,http://148.135.93.213/live.php?id=东南卫视
吉林卫视,http://148.135.93.213/live.php?id=吉林卫视
四川卫视,http://148.135.93.213/live.php?id=四川卫视
天津卫视,http://148.135.93.213/live.php?id=天津卫视
安徽卫视,http://148.135.93.213/live.php?id=安徽卫视
山东卫视,http://148.135.93.213/live.php?id=山东卫视
山西卫视,http://148.135.93.213/live.php?id=山西卫视
广西卫视,http://148.135.93.213/live.php?id=广西卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
深圳卫视,http://148.135.93.213/live.php?id=深圳卫视
甘肃卫视,http://148.135.93.213/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视

咪咕卫视,#genre#
北京卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003870776.m3u8
湖南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873458.m3u8
江苏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873462.m3u8
浙江卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873464.m3u8
湖北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873465.m3u8
天津卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873466.m3u8
山东卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873467.m3u8
辽宁卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873468.m3u8
安徽卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873469.m3u8
黑龙江卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873470.m3u8
贵州卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873471.m3u8
东南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873473.m3u8
重庆卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796458.m3u8
江西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796511.m3u8
广东卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873459.m3u8
河北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873460.m3u8
深圳卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003873474.m3u8
吉林卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004972569.m3u8
河南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887270.m3u8
四川卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887274.m3u8
河北卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887382.m3u8
广西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887394.m3u8
陕西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887404.m3u8
山西卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887413.m3u8
内蒙古卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887427.m3u8
青海卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887430.m3u8
海南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000004796877.m3u8
宁夏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887433.m3u8
西藏卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887448.m3u8
甘肃卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887450.m3u8
三沙卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887452.m3u8
云南卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887453.m3u8
厦门卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887454.m3u8
兵团卫视,http://114.32.59.86:7000/bptv/10000100000000050000000003887456.m3u8

北京卫视,http://122.234.47.134:98/bptv/10000100000000050000000003870776.m3u8
湖南卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873458.m3u8
江苏卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873462.m3u8
浙江卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873464.m3u8
湖北卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873465.m3u8
天津卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873466.m3u8
山东卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873467.m3u8
辽宁卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873468.m3u8
安徽卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873469.m3u8
黑龙江卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873470.m3u8
贵州卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873471.m3u8
东南卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873473.m3u8
重庆卫视,http://122.234.47.134:98/bptv/10000100000000050000000004796458.m3u8
江西卫视,http://122.234.47.134:98/bptv/10000100000000050000000004796511.m3u8
广东卫视,http://122.234.47.134:98/bptv/10000100000000050000000003873459.m3u8
