山西电信频道,#genre#
山东体育频道, http://218.56.123.244:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
山东新闻频道, http://218.56.123.244:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
山东农科频道, http://218.56.123.244:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
山东少儿频道, http://218.56.123.244:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0

重温经典高码,http://219.146.65.78:59902/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
黑莓电影,http://183.3.202.19:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8
卫生健康,http://139.214.179.238:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0


CHC家庭影院,http://60.16.18.243:4949/hls/29/index.m3u8#http://sport.pendy.dpdns.org/migu/644368373?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA

CHC电影,http://60.16.18.243:4949/hls/28/index.m3u8#http://sport.pendy.dpdns.org/migu/952383261?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
央视文化精品,http://139.214.179.238:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://go.bkpcp.top/mg/dzdy


咪咕央视,#genre#
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-17,http://go.bkpcp.top/mg/cctv17
江苏卫视,http://go.bkpcp.top/mg/jsws
江西卫视,http://go.bkpcp.top/mg/jxws
河南卫视,http://go.bkpcp.top/mg/hnws
广东卫视,http://go.bkpcp.top/mg/gdws
东方卫视,http://go.bkpcp.top/mg/dfws
湖北卫视,http://go.bkpcp.top/mg/hbws
湖南卫视,http://go.bkpcp.top/mg/hunws
浙江卫视,http://go.bkpcp.top/mg/zjws
深圳卫视,http://go.bkpcp.top/mg/szws
安徽卫视,http://go.bkpcp.top/mg/ahws
山东卫视,http://go.bkpcp.top/mg/sdws
四川卫视,http://go.bkpcp.top/mg/scws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
重庆卫视,http://go.bkpcp.top/mg/cqws
东南卫视,http://go.bkpcp.top/mg/dnws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
吉林卫视,http://go.bkpcp.top/mg/jlws
兵团卫视,http://go.bkpcp.top/mg/btws
海峡卫视,http://go.bkpcp.top/mg/hxws

央视频道代理,#genre#
CTV-01高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
 CCTV-02高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2 
CCTV-03高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3 
CCTV-04高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4 
CCTV-05高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
 CCTV-5+高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
 CCTV-06高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6 
CCTV-07高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7 
CCTV-08高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 
CCTV-09高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 
CCTV-10高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
 CCTV-11高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
 CCTV-12高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12 
CCTV-13高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 
CCTV-14高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14 
CCTV-15高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
 CCTV-16高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
 CCTV-17高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17 
北京卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
 东方卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws 
浙江卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws 
江苏卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws 
湖南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws 
广东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws 
深圳卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws 
天津卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws 
安徽卫视,http://61.156.228.12:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0#http://www.lizhinas.top:1009/rtp/239.252.220.83:5140
山东卫视,http://www.lizhinas.top:1009/rtp/239.252.219.228:5140
山东卫视联通,http://61.156.228.12:8154/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视2,http://61.177.81.198:35455/nptv/shandong.m3u8
安徽卫视高码,http://ylt.7766.org:333/hls/46/index.m3u8
山东卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws 
辽宁卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws 
河北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws 
河南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws 
江西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws 
四川卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
 重庆卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws 
贵州卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws 
湖北卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
 广西卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws 
东南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws 
海南卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws 
青海卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws 
吉林卫视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws 
黑龙江视高码,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws 
威海联通,#genre#
CCTV-1,http://218.56.123.244:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://218.56.123.244:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://218.56.123.244:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://218.56.123.244:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://218.56.123.244:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://218.56.123.244:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://218.56.123.244:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://218.56.123.244:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://218.56.123.244:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://218.56.123.244:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://218.56.123.244:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://218.56.123.244:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://218.56.123.244:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://218.56.123.244:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://218.56.123.244:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://218.56.123.244:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://218.56.123.244:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://218.56.123.244:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅,http://218.56.123.244:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东生活,http://218.56.123.244:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://218.56.123.244:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://218.56.123.244:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
山东新闻,http://218.56.123.244:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
山东农科,http://218.56.123.244:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
山东少儿,http://218.56.123.244:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://218.56.123.244:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
齐鲁频道,http://218.56.123.244:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://218.56.123.244:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
居家购物,http://218.56.123.244:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://218.56.123.244:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://218.56.123.244:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.56.123.244:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://218.56.123.244:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.56.123.244:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://218.56.123.244:85/tsfile/live/0130_2.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://218.56.123.244:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://218.56.123.244:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://218.56.123.244:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://218.56.123.244:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://218.56.123.244:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://218.56.123.244:85/tsfile/live/0132_2.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://218.56.123.244:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://218.56.123.244:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://218.56.123.244:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.56.123.244:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://218.56.123.244:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://218.56.123.244:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://218.56.123.244:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://218.56.123.244:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://218.56.123.244:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://218.56.123.244:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://218.56.123.244:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://218.56.123.244:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://218.56.123.244:85/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://218.56.123.244:85/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://218.56.123.244:85/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.56.123.244:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://218.56.123.244:85/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://218.56.123.244:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://218.56.123.244:85/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://218.56.123.244:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
威海新闻,http://218.56.123.244:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
都市生活,http://218.56.123.244:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://218.56.123.244:85/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
农林卫视,http://218.56.123.244:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://218.56.123.244:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0

北京卫视,https://60.191.56.186:8888/hls/34/index.m3u8
浙江卫视,https://60.191.56.186:8888/hls/17/index.m3u8
东方卫视,https://60.191.56.186:8888/hls/30/index.m3u8
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8
江苏卫视,https://60.191.56.186:8888/hls/33/index.m3u8
安徽卫视,https://60.191.56.186:8888/hls/32/index.m3u8
山东卫视,https://60.191.56.186:8888/hls/46/index.m3u8
重庆卫视,https://60.191.56.186:8888/hls/35/index.m3u8
贵州卫视,https://60.191.56.186:8888/hls/36/index.m3u8
四川卫视,https://60.191.56.186:8888/hls/37/index.m3u8
广东卫视,https://60.191.56.186:8888/hls/38/index.m3u8
天津卫视,https://60.191.56.186:8888/hls/41/index.m3u8
河南卫视,https://60.191.56.186:8888/hls/57/index.m3u8
河北卫视,https://60.191.56.186:8888/hls/43/index.m3u8
黑龙江卫视,https://60.191.56.186:8888/hls/44/index.m3u8
东南卫视,https://60.191.56.186:8888/hls/47/index.m3u8
湖北卫视,https://60.191.56.186:8888/hls/48/index.m3u8
辽宁卫视,https://60.191.56.186:8888/hls/49/index.m3u8
江西卫视,https://60.191.56.186:8888/hls/50/index.m3u8
青海卫视,https://60.191.56.186:8888/hls/51/index.m3u8
陕西卫视,https://60.191.56.186:8888/hls/53/index.m3u8
海南卫视,https://60.191.56.186:8888/hls/45/index.m3u8
山西卫视,https://60.191.56.186:8888/hls/55/index.m3u8
云南卫视,https://60.191.56.186:8888/hls/42/index.m3u8
吉林卫视,https://60.191.56.186:8888/hls/39/index.m3u8
宁夏卫视,https://60.191.56.186:8888/hls/56/index.m3u8
广西卫视,https://60.191.56.186:8888/hls/58/index.m3u8


卫视健康,http://majian.ixiaobai.net:58888/rtp/239.37.0.229:5540

第一剧场-NPTV,http://www.douzhicloud.site:35455/nptv/dyjc.m3u8
风云剧场-NPTV,http://www.douzhicloud.site:35455/nptv/fyjc.m3u8
怀旧剧场-NPTV,http://www.douzhicloud.site:35455/nptv/hjjc.m3u8


安徽卫视-NPTV,http://www.douzhicloud.site:35455/nptv/anhui.m3u8
山东卫视-NPTV,http://www.douzhicloud.site:35455/nptv/shandong.m3u8
江苏卫视,http://60.9.236.159:50003/hls/37/index.m3u8
湖南卫视,http://60.9.236.159:50003/hls/35/index.m3u8
浙江卫视,http://60.9.236.159:50003/hls/36/index.m3u8
广西卫视,http://60.9.236.159:50003/hls/56/index.m3u8
天津卫视,http://60.9.236.159:50003/hls/40/index.m3u8
深圳卫视,http://60.9.236.159:50003/hls/41/index.m3u8
广东卫视,http://60.9.236.159:50003/hls/43/index.m3u8
湖北卫视,http://60.9.236.159:50003/hls/47/index.m3u8
四川卫视,http://60.9.236.159:50003/hls/48/index.m3u8
新疆卫视,http://60.9.236.159:50003/hls/64/index.m3u8
河北卫视,http://60.9.236.159:50003/hls/22/index.m3u8
辽宁卫视,http://60.9.236.159:50003/hls/45/index.m3u8
重庆卫视,http://60.9.236.159:50003/hls/49/index.m3u8
河南卫视,http://60.9.236.159:50003/hls/50/index.m3u8
贵州卫视,http://60.9.236.159:50003/hls/51/index.m3u8
江西卫视,http://60.9.236.159:50003/hls/52/index.m3u8
陕西卫视,http://60.9.236.159:50003/hls/57/index.m3u8
山东卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226326/index.m3u8
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
辽宁卫视-NPTV,http://www.douzhicloud.site:35455/nptv/liaoning.m3u8
北京卫视-NPTV,http://www.douzhicloud.site:35455/nptv/beijing.m3u8
湖南卫视-NPTV,http://www.douzhicloud.site:35455/nptv/hunan.m3u8
江苏卫视-NPTV,http://www.douzhicloud.site:35455/nptv/jiangsu.m3u8
东方卫视-NPTV,http://www.douzhicloud.site:35455/nptv/dongfang.m3u8
湖北卫视-NPTV,http://www.douzhicloud.site:35455/nptv/hubei.m3u8
天津卫视-NPTV,http://www.douzhicloud.site:35455/nptv/tianjing.m3u8

黑龙江卫视-NPTV,http://www.douzhicloud.site:35455/nptv/heilongjiang.m3u8
贵州卫视-NPTV,http://www.douzhicloud.site:35455/nptv/guizhou.m3u8
东南卫视-NPTV,http://www.douzhicloud.site:35455/nptv/dongnan.m3u8
重庆卫视-NPTV,http://www.douzhicloud.site:35455/nptv/chongqing.m3u8
江西卫视-NPTV,http://www.douzhicloud.site:35455/nptv/jiangxi.m3u8
广东卫视-NPTV,http://www.douzhicloud.site:35455/nptv/guangdong.m3u8
河北卫视-NPTV,http://www.douzhicloud.site:35455/nptv/hebei.m3u8
深圳卫视-NPTV,http://www.douzhicloud.site:35455/nptv/shenzheng.m3u8
吉林卫视-NPTV,http://www.douzhicloud.site:35455/nptv/jiling.m3u8
河南卫视-NPTV,http://www.douzhicloud.site:35455/nptv/henan.m3u8
动作电影高码,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影
 家庭影院高码,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院
 影迷电影高码,http://qwt.zhibotv.top:2016/全网通.php?id=CHC影迷电影 
CHC影迷电影,http://www.douzhicloud.site:35455/mgtv/952383261.m3u8
CHC动作电影,http://www.douzhicloud.site:35455/mgtv/644368714.m3u8
CHC家庭影院,http://www.douzhicloud.site:35455/mgtv/644368373.m3u8
安徽卫视高码,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视 
山东卫视高码,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视 
东方卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225503/index.m3u8
 重庆卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225601/index.m3u8






央视频道,#genre#


CCTV-1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV-2,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV-3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV-4,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV-5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV-5+,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV-6,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV-7,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV-8,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV-9,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV-10,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV-11,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV-12,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV-13,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV-15,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV-16,https://60.191.56.186:8888/hls/16/index.m3u8

北京卫视,https://60.191.56.186:8888/hls/34/index.m3u8
浙江卫视,https://60.191.56.186:8888/hls/17/index.m3u8
东方卫视,https://60.191.56.186:8888/hls/30/index.m3u8
湖南卫视,https://60.191.56.186:8888/hls/31/index.m3u8
江苏卫视,https://60.191.56.186:8888/hls/33/index.m3u8
安徽卫视,https://60.191.56.186:8888/hls/32/index.m3u8
山东卫视,https://60.191.56.186:8888/hls/46/index.m3u8
重庆卫视,https://60.191.56.186:8888/hls/35/index.m3u8
贵州卫视,https://60.191.56.186:8888/hls/36/index.m3u8
四川卫视,https://60.191.56.186:8888/hls/37/index.m3u8
广东卫视,https://60.191.56.186:8888/hls/38/index.m3u8
天津卫视,https://60.191.56.186:8888/hls/41/index.m3u8
河南卫视,https://60.191.56.186:8888/hls/57/index.m3u8
河北卫视,https://60.191.56.186:8888/hls/43/index.m3u8
黑龙江卫视,https://60.191.56.186:8888/hls/44/index.m3u8
东南卫视,https://60.191.56.186:8888/hls/47/index.m3u8
湖北卫视,https://60.191.56.186:8888/hls/48/index.m3u8
辽宁卫视,https://60.191.56.186:8888/hls/49/index.m3u8
江西卫视,https://60.191.56.186:8888/hls/50/index.m3u8
青海卫视,https://60.191.56.186:8888/hls/51/index.m3u8
陕西卫视,https://60.191.56.186:8888/hls/53/index.m3u8
海南卫视,https://60.191.56.186:8888/hls/45/index.m3u8
山西卫视,https://60.191.56.186:8888/hls/55/index.m3u8
云南卫视,https://60.191.56.186:8888/hls/42/index.m3u8
吉林卫视,https://60.191.56.186:8888/hls/39/index.m3u8
宁夏卫视,https://60.191.56.186:8888/hls/56/index.m3u8
广西卫视,https://60.191.56.186:8888/hls/58/index.m3u8
内蒙古央视频道,#genre#
CTV1,http://kent.dzzkent.top:4022/udp/234.1.3.171:5000
